avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.181,0.076,0.105,85,1000
0.144,0.078,0.066,20,1000
0.146,0.068,0.078,29,1000
0.134,0.060,0.074,16,1000
0.171,0.095,0.077,49,1000
0.142,0.085,0.056,31,1000
0.169,0.102,0.067,21,1000
0.133,0.061,0.073,5,1000
0.155,0.087,0.068,4,1000
0.149,0.084,0.065,8,1000
0.178,0.103,0.075,44,1000
0.191,0.098,0.093,101,997
0.193,0.099,0.094,62,1000
0.174,0.096,0.078,36,1000
0.172,0.094,0.077,18,1000
0.151,0.068,0.083,72,1000
0.161,0.091,0.071,6,1000
0.133,0.068,0.065,12,1000
0.226,0.096,0.130,70,799
0.229,0.102,0.127,79,777
0.156,0.063,0.093,79,1000
0.180,0.088,0.092,9,1000
0.215,0.104,0.111,37,868
0.199,0.082,0.117,101,944
0.192,0.089,0.102,66,1000
0.188,0.084,0.105,66,1000
0.237,0.106,0.131,71,718
0.221,0.118,0.104,15,795
0.154,0.073,0.081,25,1000
0.175,0.093,0.082,37,1000
0.190,0.106,0.084,50,1000
0.195,0.096,0.099,50,1000
0.192,0.104,0.088,58,1000
0.174,0.081,0.093,22,1000
0.214,0.113,0.101,22,868
0.183,0.080,0.103,43,1000
0.156,0.070,0.086,48,1000
0.161,0.069,0.092,59,1000
0.139,0.069,0.070,9,1000
0.158,0.085,0.073,68,1000
0.167,0.069,0.098,90,1000
0.163,0.091,0.073,20,1000
0.173,0.081,0.092,55,1000
0.223,0.111,0.112,57,795
0.197,0.100,0.097,45,1000
0.159,0.074,0.084,8,1000
0.147,0.080,0.067,16,1000
0.169,0.098,0.071,12,1000
0.166,0.098,0.068,13,1000
0.151,0.078,0.073,23,1000
